DATE,SEC_NAME,EXE_MODE,EXE_PRICE,EXE_ENDDATE,CLOSE
2015/02/13,50ETF沽2015年6月2.50,认沽,2.5,2015/06/24 00:00,0.188
2015/02/13,50ETF购2015年9月2.50,认购,2.5,2015/09/23 00:00,0.1567
2015/02/13,50ETF沽2015年9月2.50,认沽,2.5,2015/09/23 00:00,0.2292
2015/02/13,50ETF购2015年3月2.40,认购,2.4,2015/03/25 00:00,0.0659
2015/02/16,50ETF购2015年3月2.20,认购,2.2,2015/03/25 00:00,0.2172
2015/02/16,50ETF购2015年3月2.25,认购,2.25,2015/03/25 00:00,0.1723
2015/02/16,50ETF购2015年3月2.30,认购,2.3,2015/03/25 00:00,0.131
2015/02/16,50ETF购2015年3月2.35,认购,2.35,2015/03/25 00:00,0.0939
2015/02/16,50ETF沽2015年3月2.20,认沽,2.2,2015/03/25 00:00,0.0138
2015/02/16,50ETF沽2015年3月2.25,认沽,2.25,2015/03/25 00:00,0.0203
2015/02/16,50ETF沽2015年3月2.30,认沽,2.3,2015/03/25 00:00,0.0305
2015/02/16,50ETF沽2015年3月2.35,认沽,2.35,2015/03/25 00:00,0.0458
2015/02/16,50ETF沽2015年3月2.40,认沽,2.4,2015/03/25 00:00,0.0687
2015/02/16,50ETF购2015年4月2.20,认购,2.2,2015/04/22 00:00,0.2322
2015/02/16,50ETF购2015年4月2.25,认购,2.25,2015/04/22 00:00,0.1927
2015/02/16,50ETF购2015年4月2.30,认购,2.3,2015/04/22 00:00,0.1564
2015/02/16,50ETF购2015年4月2.35,认购,2.35,2015/04/22 00:00,0.1272
2015/02/16,50ETF购2015年4月2.40,认购,2.4,2015/04/22 00:00,0.0994
2015/02/16,50ETF沽2015年4月2.20,认沽,2.2,2015/04/22 00:00,0.0217
2015/02/16,50ETF沽2015年4月2.25,认沽,2.25,2015/04/22 00:00,0.0322
2015/02/16,50ETF沽2015年4月2.30,认沽,2.3,2015/04/22 00:00,0.0477
2015/02/16,50ETF沽2015年4月2.35,认沽,2.35,2015/04/22 00:00,0.0694
2015/02/16,50ETF沽2015年4月2.40,认沽,2.4,2015/04/22 00:00,0.0938
2015/02/16,50ETF购2015年6月2.20,认购,2.2,2015/06/24 00:00,0.2618
2015/02/16,50ETF购2015年6月2.25,认购,2.25,2015/06/24 00:00,0.2257
2015/02/16,50ETF购2015年6月2.30,认购,2.3,2015/06/24 00:00,0.1952
